ph_drop,nsi,age,emi,final_omegaclc,final_omegaarg,final_sir,final_high_omegaclc,final_hihg_omegaarg
0.2,0.1,6000,2718.821778569002,3.7674647567473833,1.7389997386319722,66.83578398756417,2.3408588085760633,1.0463404792205413
0.2,0.2,6000,2786.4254022505215,3.783561547309916,1.7464744621305266,66.50518860443813,2.3489671285446203,1.049985201213306
0.2,0.3,6000,2863.628963022565,3.7995649634041784,1.753940799210054,66.23935216816012,2.3566433815617582,1.05345101983674
0.2,0.4,6000,2952.0032233943566,3.8186931289837407,1.7628447864383165,65.89000979617506,2.3659847125583995,1.0576596162946983
0.2,0.5,6000,3053.430168685044,3.837951323890307,1.77185574744123,65.61939116246478,2.374896854416364,1.0616955672629056
0.2,0.6,6000,3170.2037547368454,3.8610114212938793,1.7826217753506681,65.2581891884602,2.385770625939733,1.0666088977025088
0.3,0.1,6000,4504.494829010958,3.2236208185348043,1.4934512406968699,98.6095008797686,1.9942699347572017,0.8936265910576213
0.3,0.2,6000,4596.58273498509,3.2368246225135135,1.4996613758599502,98.30247943828051,2.000230830081898,0.8963379383641475
0.3,0.3,6000,4704.2784368784,3.255185132475046,1.5082304529979094,97.68878729182202,2.0091199230652457,0.9003496153903014
0.3,0.4,6000,4830.58653340566,3.2743587829951752,1.5172173042120756,97.16344011581249,2.0180045942244744,0.9043764561581965
0.3,0.5,6000,4979.229346613074,3.2988028646487733,1.5286286290366295,96.37373617217904,2.0297131257458023,0.9096622977798793
0.3,0.6,6000,5154.981170482763,3.3249062702622885,1.5408640300002467,95.67797694739369,2.041721617093498,0.9151056545426377
0.4,0.1,6000,6705.544173840168,2.7574369169018147,1.2823058129510416,145.6221080072313,1.6969648512244064,0.7623790152613278
0.4,0.2,6000,6826.4295818572355,2.776429503225759,1.2911445896908966,144.2277510094454,1.706827213526902,0.7668149569061773
0.4,0.3,6000,6971.062546387174,2.789381134535133,1.297316026557159,143.97600227717936,1.7120750775380866,0.7692364952206685
0.4,0.4,6000,7144.603925882802,2.8092788815610445,1.3066797650442927,143.03389694675144,1.7212684583758318,0.773415590428476
0.4,0.5,6000,7353.858177509915,2.837046337513396,1.3196586251782405,141.33093634767232,1.7349056880330878,0.7795736228986597
0.4,0.6,6000,7607.798912385016,2.8668668438573066,1.3336615660599778,139.8333552256099,1.7488281851904721,0.7858891157440757
